file,n_AC,n_AC_inGrid,n_cubes,max_dim
PDB\1jcz.cif,520,520,11088,2.7
PDB\1m6o.cif,384,384,9900,2.7
PDB\1nrn.cif,295,295,5760,2.7
PDB\1t5a.cif,2076,2076,56448,2.7
PDB\1tvb.cif,768,768,23868,2.7
PDB\1xwd.cif,862,862,28800,2.7
PDB\1ydp.cif,384,384,9500,2.7
PDB\1yfk.cif,483,483,10773,2.7
PDB\1ziw.cif,629,629,13454,2.7
PDB\2c4k.cif,1830,1830,73320,2.7
PDB\2psn.cif,1728,1728,46620,2.7
PDB\2q6w.cif,758,758,19500,2.7
PDB\3b6r.cif,752,752,21344,2.7
PDB\3bzf.cif,764,764,25704,2.7
PDB\3dlj.cif,938,938,26180,2.7
PDB\3gc8.cif,693,693,23760,2.7
PDB\3n9y.cif,1077,1077,31280,2.7
PDB\3s2k.cif,1298,1298,49500,2.7
PDB\3w81.cif,1232,1232,39312,2.7
PDB\3wkj.cif,753,753,18009,2.7
PDB\4csj.cif,261,261,6156,2.7
PDB\4d61.cif,5641,5641,421652,2.7
PDB\4ip8.cif,420,420,8112,2.7
PDB\4wrn.cif,1356,1356,39680,2.7
PDB\4x96.cif,1500,1500,61256,2.7
PDB\5fbh.cif,938,938,20800,2.7
PDB\5mx0.cif,610,610,22550,2.7
PDB\5o9h.cif,589,589,13260,2.7
PDB\6h02.cif,1457,1457,60236,2.7
PDB\4f80.cif,209,209,5824,2.8
PDB\3wsr.cif,261,261,7308,2.8
PDB\2bv1.cif,264,264,8100,2.8
PDB\3pv6.cif,326,326,15600,2.8
PDB\2bqz.cif,340,340,10080,2.8
PDB\4o2c.cif,382,382,8160,2.8
PDB\2hkf.cif,438,438,10488,2.8
PDB\3cxd.cif,438,438,7956,2.8
PDB\3sop.cif,500,500,11625,2.8
PDB\3wxv.cif,509,509,13158,2.8
PDB\4ht1.cif,559,559,12555,2.8
PDB\2p4e.cif,586,586,13338,2.8
PDB\6al5.cif,672,672,22050,2.8
PDB\3an2.cif,702,702,14283,2.8
PDB\1xx9.cif,749,749,18375,2.8
PDB\1kpr.cif,766,766,35409,2.8
PDB\2clr.cif,770,770,36630,2.8
PDB\2gl8.cif,771,771,14322,2.8
PDB\6bdz.cif,855,855,29760,2.8
PDB\4djh.cif,895,895,41382,2.8
PDB\5i6x.cif,976,976,20930,2.8
PDB\3ho5.cif,1051,1051,53580,2.8
PDB\2id5.cif,1886,1886,61335,2.8
PDB\4omc.cif,2810,2810,101244,2.8
PDB\1914.cif,171,171,3360,2.8
PDB\1a3a.cif,576,576,16016,2.8
PDB\1a88.cif,825,825,15548,2.8
PDB\1a8h.cif,500,500,11339,2.8
PDB\1a8m.cif,456,456,8820,2.8
PDB\1ado.cif,1452,1452,31680,2.8
PDB\1adq.cif,644,644,24640,2.8
PDB\1ai9.cif,384,384,10920,2.8
PDB\1air.cif,352,352,5712,2.8
PDB\1akj.cif,611,611,12880,2.8
PDB\1akm.cif,966,966,22475,2.8
PDB\1aox.cif,402,402,9828,2.8
PDB\1aq1.cif,277,277,4488,2.8
PDB\1aqi.cif,764,764,26400,2.8
PDB\1atu.cif,374,374,6900,2.8
PDB\1av1.cif,804,804,51870,2.8
PDB\1az0.cif,466,466,8280,2.8
PDB\1b09.cif,1030,1030,31500,2.8
PDB\1b5s.cif,1210,1210,78540,2.8
PDB\1bbs.cif,662,662,22770,2.8
PDB\1bog.cif,438,438,10584,2.8
PDB\1bqq.cif,358,358,7980,2.8
PDB\1bvn.cif,567,567,9975,2.8
PDB\1bzl.cif,969,969,22816,2.8
PDB\1c3a.cif,260,260,3388,2.8
PDB\1ca9.cif,1148,1148,46546,2.8
PDB\1cqp.cif,364,364,9120,2.8
PDB\1cqx.cif,806,806,28644,2.8
PDB\1cxp.cif,1138,1138,28350,2.8
PDB\1d0g.cif,781,781,17576,2.8
PDB\1d3e.cif,989,989,40020,2.8
PDB\1d5m.cif,590,590,15834,2.8
PDB\1dmw.cif,307,307,4624,2.8
PDB\1duj.cif,187,187,3240,2.8
PDB\1e27.cif,384,384,8568,2.8
PDB\1e7k.cif,248,248,4116,2.8
PDB\1eku.cif,506,506,10488,2.8
PDB\1eqy.cif,484,484,10920,2.8
PDB\1ext.cif,318,318,15341,2.8
PDB\1exu.cif,355,355,8800,2.8
PDB\1f1f.cif,88,88,720,2.8
PDB\1fb1.cif,980,980,34720,2.8
PDB\1fg9.cif,862,862,48576,2.8
PDB\1fkn.cif,792,792,25088,2.8
PDB\1fv1.cif,775,775,22984,2.8
PDB\1fza.cif,1414,1414,78750,2.8
PDB\1gd8.cif,945,945,48412,2.8
PDB\1gkc.cif,315,315,6375,2.8
PDB\1gwb.cif,541,541,12936,2.8
PDB\1gxs.cif,850,850,17952,2.8
PDB\1hcf.cif,444,444,11780,2.8
PDB\1hsb.cif,372,372,8228,2.8
PDB\1iue.cif,196,196,2520,2.8
PDB\1j2e.cif,1458,1458,33325,2.8
PDB\1jdn.cif,407,407,6528,2.8
PDB\1jeq.cif,1068,1068,33263,2.8
PDB\1kkq.cif,1152,1152,35235,2.8
PDB\1lvk.cif,743,743,16192,2.8
PDB\1m4u.cif,311,311,16008,2.8
PDB\1m6h.cif,746,746,13680,2.8
PDB\1mx1.cif,3187,3187,59942,2.8
PDB\1nsi.cif,1680,1680,66600,2.8
PDB\1nys.cif,343,343,8464,2.8
PDB\1r46.cif,781,781,17820,2.8
PDB\1s9v.cif,739,739,20910,2.8
PDB\1sg1.cif,361,361,11088,2.8
PDB\1te6.cif,867,867,16848,2.8
PDB\2b5i.cif,629,629,23188,2.8
PDB\2bck.cif,790,790,35640,2.8
PDB\2bvo.cif,384,384,8160,2.8
PDB\2cv5.cif,761,761,19778,2.8
PDB\2dka.cif,980,980,20800,2.8
PDB\2f9q.cif,1810,1810,27216,2.8
PDB\2qc7.cif,448,448,16146,2.8
PDB\2xpg.cif,381,381,7920,2.8
PDB\2zch.cif,681,681,25172,2.8
PDB\3fe2.cif,468,468,10368,2.8
PDB\3urf.cif,320,320,15552,2.8
PDB\3v2w.cif,442,442,10846,2.8
PDB\4p4k.cif,1644,1644,50784,2.8
PDB\4v06.cif,690,690,14322,2.8
PDB\5bv6.cif,151,151,2310,2.8
PDB\5cxv.cif,451,451,15120,2.8
PDB\5ij0.cif,856,856,13566,2.8
PDB\5inc.cif,770,770,18538,2.8
PDB\5vkj.cif,312,312,12480,2.8
PDB\5w67.cif,380,380,9108,2.8
PDB\6ak3.cif,544,544,8976,2.8
PDB\6c0v.cif,1154,1154,33396,2.8
PDB\6c0w.cif,925,925,31080,2.8
PDB\6e3y.cif,1194,1194,40500,2.8
PDB\6n88.cif,1566,1566,53196,2.8
PDB\1tou.cif,131,131,1320,2.9
PDB\2xjy.cif,166,166,4875,2.9
PDB\3lli.cif,251,251,4200,2.9
PDB\2qlu.cif,297,297,5400,2.9
PDB\4ib4.cif,375,375,10752,2.9
PDB\6cpl.cif,385,385,7225,2.9
PDB\1pt6.cif,387,387,6930,2.9
PDB\2b2t.cif,431,431,10710,2.9
PDB\3bik.cif,446,446,19040,2.9
PDB\3wxw.cif,509,509,11424,2.9
PDB\4tnb.cif,529,529,10450,2.9
PDB\1pkg.cif,567,567,17081,2.9
PDB\1q94.cif,768,768,17766,2.9
PDB\2iwg.cif,776,776,14985,2.9
PDB\1t09.cif,828,828,16926,2.9
PDB\2xmq.cif,843,843,21700,2.9
PDB\1qz2.cif,865,865,28288,2.9
PDB\3l43.cif,965,965,16182,2.9
PDB\12ca.cif,255,255,3570,2.9
