file,n_AC,n_AC_inGrid,n_cubes,max_dim
PDB\4awn.cif,268,268,81212560,RUNTIME 60s+
PDB\4fyq.cif,903,903,405654000,RUNTIME 60s+
PDB\4hsv.cif,248,248,2160,RUNTIME 60s+
PDB\4msv.cif,300,300,202245736,RUNTIME 60s+
PDB\4nuu.cif,592,592,276000192,RUNTIME 60s+
PDB\4qmg.cif,1600,1600,68421341,RUNTIME 60s+
PDB\4qyl.cif,525,525,175912830,RUNTIME 60s+
PDB\5f3b.cif,1101,1101,50554944,RUNTIME 60s+
PDB\5f4e.cif,445,445,292266819,RUNTIME 60s+
PDB\5ieh.cif,387,387,179593700,RUNTIME 60s+
PDB\5j03.cif,221,221,91892880,RUNTIME 60s+
PDB\5lgd.cif,553,553,295658100,RUNTIME 60s+
PDB\5o9v.cif,808,808,394296930,RUNTIME 60s+
PDB\5tby.cif,2528,2528,45360,RUNTIME 60s+
PDB\5vgd.cif,383,383,169966510,RUNTIME 60s+
PDB\5yhl.cif,718,718,379431000,RUNTIME 60s+
PDB\6a9p.cif,820,820,19995,RUNTIME 60s+
PDB\1a67.cif,,,,
PDB\1ab2.cif,,,,
PDB\1b11.cif,,,,
PDB\1ba9.cif,,,,
PDB\1cyu.cif,,,,
PDB\1dok.cif,,,,
PDB\1eq3.cif,,,,
PDB\1mq1.cif,,,,
PDB\1wfm.cif,,,,
PDB\1wlx.cif,,,,
PDB\2ejy.cif,,,,
PDB\2he3.cif,,,,
PDB\2klr.cif,,,,
PDB\2lbf.cif,,,,
PDB\2lhl.cif,,,,
PDB\2qkh.cif,,,,
PDB\2wut.cif,,,,
PDB\3w4o.cif,,,,
PDB\4r2a.cif,,,,
PDB\5apa.cif,,,,
PDB\5k26.cif,,,,
PDB\5y4m.cif,,,,
